,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,0.99,2004
1,2MASS J00040288-6410358,192,1.63,
2,LHS 102BC,,,2002
3,2MASS J00242463-0158201,37.7,1.09,
4,2MASS J00250365+4759191AB,143,,
5,2MASS J00274197+0503417,236,1.44,
6,2MASS J00275592+2219328,46.9,,
7,2MASSW J0030300-145033,87.2,0.98,n/a
8,2MASS J00332386-1521309 [de],131,1.43,n/a
9,2MASS J00345157+0523050,31,0.94,n/a
10,2MASS 0036+1821,28.6,0.94,2000
11,2MASSW J0045214+163445,57,1.62,n/a
12,WISEP J004701.06+680352.1 [fr],40,1.3,n/a
13,2MASS J00501994-3322402 [de],34,0.94,n/a
14,2MASS J00034227-2822410,,,n/a
15,2MASS J00584253-0651239 [de],96,1.43,n/a
16,CFBDS J005910.90–011401.3,30,,2013
17,2MASSI J0103320+193536,70,0.98,
18,SDSSp J010752.33+004156.1 [de],51,0.98,
19,2MASSI J0117474-340325 [de],163,1.62,
20,2MASS J01415823-4633574 [de],130,1.61,
21,SDSS J015141.69+124429.6,70,0.97,
22,DENIS-P J020529.0−115925A,65,,1997
23,DENIS-P J020529.0−115925B,65,,1997
24,DENIS-P J020529.0−115925C,65,,1997
25,SDSS J020742.48+000056.2 [de],111,0.97,n/a
26,2MASS J02103857-3015313,101,1.53,n/a
27,2MASS J02340093-6442068,155,1.62,n/a
28,2MASS J02411151-0326587 [de],152,1.41,n/a
29,2MASS J02431371−2453298,35,0.99,2002
30,LP 771-21,53,1.08,n/a
31,2MASS J02511327+0047364,,,n/a
32,Teegarden's star,12.578,1.27,2003
33,2MASS J02535980+3206373,184,1.9,n/a
34,WISE J0254+0223,24,1.9,n/a
35,DEN 0255-4700,16.2,0.97,2006
36,2MASS J03185403-3421292 [de],45,0.97,2008
37,2MASS J03205965+1854233,47,1.15,n/a
38,2MASS J03231002-4631237,192,1.66,n/a
39,SDSS J032553.17+042540.1,59,0.95,n/a
40,2MASS J03264225-2102057 [de],80,1.3,2003
41,2MASS J03284265+2302051 [de],98,0.98,2000
42,2MASS J03341218-4953322,27.0,1.04,n/a
43,LP 944-20,20.9,1.43,n/a
44,2MASP J0345432+254023,88,1.05,1997
45,Teide 1,380,3.78,1995
46,2MASS J03510004-0052452,48,1.27,n/a
47,2MASS J03552337+1133437,29.8,1.32,2006
48,DENIS-P J035726.9-441730 [de],130,,n/a
49,2MASS J04151954−0935066,18.6,0.95,2002
50,SDSSp J042348.57-041403.5 [de],50,,2002
51,2MASS J04285096-2253227 [de],85,1.09,2003
52,2MASS J04351612-1606574,34,1.26,n/a
53,2MASS J04362788-4114465,142,1.97,n/a
54,2MASS J04390101-2353083 [de],29.5,0.97,2003
55,2MASS J04414489+2301513,470,,2010
56,2MASS J04433764+0002040,82,1.78,n/a
57,2MASS J04455387-3048204 [de],42,1.00,2003
58,2MASS J04510093-3402150 [de],69,72,2003
59,2MASS J05002100+0330501 [de],44,1.00,2008
60,2MASS J05012406-0010452 [de],64,1.38,2008
61,2MASS J05160945-0445499 [de],73,0.97,2003
62,2MASS J0523−1403,40,1.01,n/a
63,2MASS 0532+8246,81,,2018
64,SDSS J053951.99-005902.0,41.62,1.01,n/a
65,2MASS J05591914-1404488 [de],34,,2000
66,LSR 0602+3910 [de],34.6,1.41,2003
67,2MASS J06085283-2753583,102,1.51,n/a
68,WISEP J061135.13-041024.0A,69,,2014
69,WISEP J061135.13-041024.0B,69,,2014
70,2MASS J06244595-4521548 [de],39,0.99,2008
71,2MASS J06411840-4322329 [de],65,1.01,2008
72,DENIS-P J0652197-253450 [de],51,1.05,2008
73,2MASS J07003664+3157266 [de],40,,2003
74,2MASS J07075327-4900503,60,1.03,n/a
75,UGPS J072227.51-054031.2,13.4,0.98,2010
76,2MASSI J0727182+171001 [de],29.6,0.94,2002
77,2MASS J07290002-3954043 [de],25.8,0.94,2007
78,SDSS J074201.41+205520.5 [de],49,0.94,2004
79,2MASS J0746425+200032 [fr],49.6,,1999
80,DENIS-P J0751164-253043 [de],55,1.03,2008
81,2MASS J07522390+1612157,60,68,
82,DENIS J081730.0-615520,16.1,0.94,2010
83,DENIS J082303.1−491201A,67,,2006
84,DENIS J082303.1−491201B,67,,2006
85,2MASS J08251968+2115521 [de],35,0.98,2000
86,SDSSp J083008.12+482847.4 [de],43,0.99,2002
87,LHS 2021,55,1.15,
88,SDSS J083048.80+012831.1 [de],77,0.96,2004
89,2MASSI J0835425-081923 [de],23.53,1.00,2003
90,2MASSI J0847287-153237 [de],43,1.00,2003
91,2MASS J08533619-0329321,27.6,1.07,
92,2MASSI J0859254-194926 [de],50,0.98,2003
93,2MASSW J0920122+351742 [de],95,,2000
94,2MASSI J0937347+293142,20.0,0.94,2002
95,2MASS 0939−2448,17.4,0.95,2005
96,2MASS J09490860-1545485 [de],59,0.96,2005
97,2MASS J10073369-4555147,46,0.94,
98,2MASSI J1010148-040649 [de],55,0.98,2003
99,2MASSI J1017075+130839 [de],108,,2003
100,SDSS J102109.69-030420.1,95,,
101,2MASS J10224821+5825453 [de],60,1.41,2008
102,2MASSW J1036530-344138 [de],53,0.97,2002
103,2MASS J1047538+212423 [de],34.4,0.94,1999
104,DEN 1048-3956,13.15,1.07,2000
105,Luhman 16B,6.516,1.02,2013
106,Luhman 16A,6.516,1.01,2013
107,DENIS-P J1058.7−1548,49,1.00,1997
108,TWA 28,180,2.39,
109,Cha 110913-773444,163,1.8,2005
110,OTS 44,554,,2005
111,SDSS J111010.01+011613.1,63,1.24,
112,2MASS J11145133−2618235,18.2,0.96,2005
113,TWA 26,137,2.20,
114,2MASSW J1146345+223053,89,,
115,2MASS J11544223-3400390 [de],129,1.50,2003
116,2MASSW J1155395-372735 [de],31,1.00,2002
117,TWA 27A,,,
118,TWA 27B,,,
119,2MASS J12074836-3900043,217,1.71,n/a
120,2MASSI J1217110-031113 [de],36,0.94,1999
121,2MASS J12255432-2739466,43,,n/a
122,DENIS-P J1228.2-1547,66,,1999
123,2M 1237+6526,45.6,0.94,2003
124,2MASSW J1239272+551537 [de],119,,2000
125,TWA 29,262,25,n/a
126,SDSSp J125453.90-012247.4 [de],38,0.98,2000
127,Kelu-1A,61,0.98,1997
128,Kelu-1B,61,0.98,1997
129,2MASS J13204427+0409045,101,1.01,n/a
130,SDSSp J132629.82-003831.5 [de],65,0.97,2000
131,SDSSp J134646.45-003150.4 [de],48,0.94,2000
132,2MASS J13595510-4034582,51,1.00,n/a
133,ULAS J141623.94+134836.3,29.7,0.96,n/a
134,SDSS J141659.78+500626.4 [de],149,0.99,2006
135,DENIS-P J142527.97-365023.4 [de],38,1.32,2004
136,LHS 2924,38.5,1.06,
137,2MASS J14392837+1929150,47,1.03,n/a
138,LSPM J1440+1339,72,1.19,n/a
139,2MASS J14482563+1031590 [de],47,0.99,2003
140,CFBDSIR 1458+10A,104,1.5,2010
141,CFBDSIR 1458+10B,104,1.3,2010
142,TVLM 513-46546,35.1,1.05,n/a
143,2MASS 1503+2525,20.7,0.94,2003
144,CFBDS J150411+102717,71,0.94,n/a
145,2MASSW J1506544+132106 [de],46,1.02,2000
146,2MASS 1507−1627,23.9,0.99,2000
147,TVLM 868-110639,53,1.08,n/a
148,SDSS J151114.66+060742.9 [de],89,,2006
149,2MASSW J1515008+484742 [de],34,0.99,2003
150,2MASSI J1526140+204341 [de],67,0.98,2000
151,DENIS-P J153941.96-052042.4 [de],51,1.00,2004
152,2MASS J15462718-3325111 [de],37,0.94,2002
153,2MASSW J1552591+294849 [de],68,1.43,2003
154,2MASSW J1555157-095605 [de],44,1.03,2002
155,2MASS J16150413+1340079 [de],48,0.94,2007
156,SDSSp J162414.37+002915.6 [de],36,0.94,1999
157,2MASS J16262034+3925190 [de],110,1.03,2004
158,2MASSW J1632291+190441 [de],50,0.97,1999
159,WISEPA J164715.59+563208.2,28,0.94,n/a
160,LSPM J1658+7027 [de],60,1.04,2000
161,2MASSI J1726000+153819,114,1.40,n/a
162,2MASSW J1728114+394859,79,,n/a
163,SDSSp J175032.96+175903.9,90,0.97,n/a
164,2MASS J18283572-4849046,39,0.95,n/a
165,LSR J1835+3259,18.5,1.07,2003
166,2MASSW J1841086+311727,138,1.01,n/a
167,2MASS J18432213+4040209,46,1.22,n/a
168,2MASS J20004841-7523070,105,1.88,n/a
169,SDSS J204749.61-071818.3,65,0.96,n/a
170,2MASSI J2057540-025230,47,1.02,n/a
171,2MASSW J2101154+175658,108,,n/a
172,2MASSI J2104149-103736,62,1.02,n/a
173,PSO J318.5−22,80,1.53,2013
174,HB 2124-4228,113,1.21,n/a
175,2MASS J21392676+0220226,32.1,0.96,n/a
176,2MASS J21481628+4003593,26.3,0.99,n/a
177,2MASS J14112131-2119503,,,n/a
178,2MASSW J2206450-421721,93,1.33,n/a
179,2MASSW J2208136+292121,154,1.41,n/a
180,2MASSW J2224438-015852,38,0.99,n/a
181,2MASS J22282889-4310262,35,0.94,2013
182,2MASS J22373255+3922398,64,1.04,n/a
183,2MASSW J2244316+204343,56,1.29,n/a
184,2MASS J23224684-3133231,56,1.39,n/a
185,2MASS J23225299-6151275,148,1.59,n/a
186,2MASS J23515044-2537367,67,1.16,n/a
187,2MASSI J2356547-155310,74,1.09,n/a
188,WISE 0005+3737,23.2,,2010
189,WISE 0008-1739,87.1,,2010
190,WISE 0015-4615,48.6,,2010
191,WISE 0031-3840,71.8,,2010
192,WISE 0032-4946,62.9,,2010
193,WISE 0038+2758,36.9,,2010
194,WISE 0038+8405,101.8,,2010
195,WISE 0040+0900,47.6,,2010
196,WISE 0049+0441,62.6,,2010
197,WISE 0049+2151,24.1,,2010
198,WISE 0106+1518,142.9,,2010
199,WISE 0123+4142,67.2,,2010
200,WISE 0135+1715,77.3,,2010
201,WISE 0138-0322,57.7,,2010
202,WISE 0146+4234,20.5,,2010
203,WISE 0148-7202,30,,2010
204,WISE 0150+3827,61.3,,2010
205,WISE 0206+2640,58.4,,2010
206,WISE 0221+3842,73.1,,2010
207,WISE 0223-2932,47,,2010
208,WISE 0226-0211,91,,2010
209,WISE 0241-3653,53.8,,2010
210,WISE 0245-3450,56.1,,2010
211,WISE 0247+3725,57.1,,2010
212,WISE 0305+3954,75,,2010
213,WISE 0307+2904,82.8,,2010
214,WISE 0313+7807,28,,2010
215,WISE 0316+4307,106.3,,2010
216,WISE 0321-7347,84.8,,2010
217,WISE 0323-6025,45.3,,2010
218,WISE 0325-3854,51.2,,2010
219,WISE 0325+0831,36.5,,2010
220,WISE 0333-5856,54.8,,2010
221,WISE 0335+4310,45.7,,2010
222,WISE 0336-0143,55.4,,2010
223,WISE 0350-5658,17.7,,2010
224,WISE 0359-5401,19.2,,2010
225,WISE 0410+1502,20,1.17,2010
226,WISE 0410+1411,85.8,,2010
227,WISE 0413-4750,66.2,,2010
228,WISE 0448-1935,69.8,,2010
229,WISE 0458+6434A,35.9,4.2,2010
230,WISE 0458+6434B,35.9,3.8,2010
231,WISE 0500-1223,47,,2010
232,WISE 0513+0608,44.7,,2010
233,WISE 0525+6739,98.2,,2010
234,WISE 0528-3308,57.4,,2010
235,WISE 0535-7500,47,,2010
236,WISE 0539-1034,84.8,,2010
237,WISE 0542-1628,50.6,,2010
238,WISE 0607+2429,25.4,,2010
239,WISE 0611-0410,57.7,,2010
240,WISE 0612-4920,95.2,,2010
241,WISE 0612-3036,64.9,,2010
242,WISE 0614+3912,50.2,,2010
243,WISE 0614+0951,51.5,,2010
244,WISE 0623-0456,37.5,,2010
245,WISE 0625+5646,67.2,,2010
246,WISE 0627-1114,37.2,,2010
247,WISE 0647-6232,28,,2010
248,WISE 0656+4205,54.1,,2010
249,WISE 0713-2917,23.2,,2010
250,WISE 0723+3403,45.7,,2010
251,WISE 0733+7544,78.3,,2010
252,WISE 0734-7157,34.9,,2010
253,WISE 0744+5628,47.3,,2010
254,WISE 0750+2725,51.5,,2010
255,WISE 0751-7634,39.1,,2010
256,WISE 0759-4904,38.8,,2010
257,WISE 0811-8051,32,,2010
258,WISE 0812+4021,63.6,,2010
259,WISE 0819-0335,46,,2010
260,WISE 0821+1443,68.2,,2010
261,WISE 0836-1859,72.4,,2010
262,WISE 0857+5604,42.1,,2010
263,WISE 0906+4735,51.5,,2010
264,WISE 0929+0409,64.9,,2010
265,WISE 0952+1955,72.1,,2010
266,WISE 1018-2445,47.6,,2010
267,WISE 1019+6529,56.8,,2010
268,WISE 1039-1600,47.3,,2010
269,WISE 1042-3842,53.2,,2010
270,WISE 1051-2138,40.8,,2010
271,WISE 1122+2550,57.7,,2010
272,WISE 1124-0421,50.6,,2010
273,WISE 1147-2040,102,,2010
274,WISE 1150+6302,32.9,,2010
275,WISE 1217+1626A,34.2,,2010
276,WISE 1217+1626B,34.2,,2010
277,WISE 1225-1013,55.4,,2010
278,WISE 1311+0122,44.4,,2010
279,WISE 1311+3629,86.1,,2010
280,WISE 1318-1758,32.9,,2010
281,WISE 1320+6034,56.1,,2010
282,WISE 1322-2340,33.9,,2010
283,WISE 1348+6603,91,,2010
284,WISE 1405+5534,25.3,0.86,2010
285,WISE 1433-0837,84.8,,2010
286,WISE 1436-1814,60,,2010
287,WISE 1457+5815,52.2,,2010
288,WISE 1506+7027,11.1,,2010
289,WISE 1517+0529,72.4,,2010
290,WISE 1519+7009,50.9,,2010
291,WISE 1523+3125,84.5,,2010
292,WISE 1541-2250,20,,2010
293,WISE 1542+2230,41.1,,2010
294,WISE 1612-3420,55.4,,2010
295,WISE 1614+1739,32.6,,2010
296,WISE 1617+1807,50.2,,2010
297,WISE 1622-0959,52.2,,2010
298,WISE 1627+3255,50.2,,2010
299,WISE 1639-6847,16.3,,2010
300,WISE 1647+5632,28,,2010
301,WISE 1653+4444,39.5,,2010
302,WISE 1711+3500,60.3,,2010
303,WISE 1717+6129,72.7,,2010
304,WISE 1721+1117,62.3,,2010
305,WISE 1728+5716,97.8,,2010
306,WISE 1738+2732,20,,2010
307,WISE 1741+2553,18.9,,2010
308,WISE 1746-0338,83.8,,2010
309,WISE 1800+0134,28.7,,2010
310,WISE 1804+3117,30,,2010
311,WISE 1809+3838,74.4,,2010
312,WISE 1812+2721,47,,2010
313,WISE 1828+2650,36,,2010
314,WISE 1830+4542,107,,2010
315,WISE 1841+7000,131.1,,2010
316,WISE 1852+3537,55.4,,2010
317,WISE 1906+4508,51.5,,2010
318,WISE 1928+2356,22.8,,2010
319,WISE 1952+7240,44.4,,2010
320,WISE 1959-3338,37.2,,2010
321,WISE 2030+0749,34.2,,2010
322,WISE 2014+0424,96.2,,2010
323,WISE 2015+6646,50.6,,2010
324,WISE 2018-7423,47.9,,2010
325,WISE 2019-1148,42.4,,2010
326,WISE 2056+1459,24.5,,2010
327,WISE 2134-7137,42.7,,2010
328,WISE 2157+2659,61.6,,2010
329,WISE 2209-2734,46,,2010
330,WISE 2213+0911,58.7,,2010
331,WISE 2220-3628,26.4,,2010
332,WISE 2226+0440,45,,2010
333,WISE 2237-0614,53.5,,2010
334,WISE 2237+7228,46,,2010
335,WISE 2239+1617,59.7,,2010
336,WISE 2255-3118,44.7,,2010
337,WISE 2301+0216,60.7,,2010
338,WISE 2313-8037,35.9,,2010
339,WISE 2319-1844,52.2,,2010
340,WISE 2325-4105,37.5,,2010
341,WISE 2327-2730,70.8,,2010
342,WISE 2335+4222,90.3,,2010
343,WISE 2340-0745,37.8,,2010
344,WISE 2342+0856,51.2,,2010
345,WISE 2343-7418,48.6,,2010
346,WISE 2344+1034,46,,2010
347,WISE 2348-1028,54.1,,2010
348,WISE 2357+1227,54.8,,2010
349,WISE 2359-7335,42.7,,2010
350,WISEA 1101+5400,111,,2017
351,2M1510,120,,2002
